sex	isced11	unit	age	geo\time	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
T	ED0-2	PC	Y25-34	AT	11.9 	12.2 	12.0 	11.6 	10.9 	10.0 b	10.0 	11.4 	11.5 	11.1 	10.6 	10.9 
T	ED0-2	PC	Y25-34	BE	16.9 	17.9 	18.1 	18.1 	18.3 	17.7 b	17.5 	17.2 	16.6 b	14.6 	14.8 	14.2 
T	ED0-2	PC	Y25-34	BG	20.1 	18.8 b	17.9 b	17.1 	17.0 	18.0 b	17.8 	17.5 	17.1 	16.8 	17.6 	17.9 
T	ED0-2	PC	Y25-34	CH	10.0 	12.2 b	12.0 	11.2 	10.2 	9.5 b	9.0 	8.6 	8.1 	7.1 	6.3 	6.0 
T	ED0-2	PC	Y25-34	CY	16.6 b	16.7 	15.3 	14.1 	13.5 	13.7 b	12.5 	11.6 	11.3 	10.6 	10.0 	10.9 
T	ED0-2	PC	Y25-34	CZ	5.8 	5.8 	5.7 b	6.3 	5.6 	5.4 b	6.3 	6.6 	6.0 	6.3 	7.0 	7.6 
T	ED0-2	PC	Y25-34	DE	14.0 	13.3 b	13.0 	13.0 	12.9 	12.7 b	12.7 	13.0 	13.2 	13.1 	13.2 	13.2 bp
T	ED0-2	PC	Y25-34	DK	20.0 	20.8 	20.3 	19.4 	19.4 	19.3 b	18.2 	17.8 b	17.7 b	18.2 	17.6 	17.5 
T	ED0-2	PC	Y25-34	EA19	22.5 	21.9 	21.5 	21.0 	20.0 	19.1 b	18.6 	18.5 	18.2 	17.4 	16.8 	15.9 
T	ED0-2	PC	Y25-34	EE	13.9 	13.1 	14.1 	13.5 	12.1 	12.9 b	12.2 	12.3 	12.6 	12.0 	11.4 	11.0 
T	ED0-2	PC	Y25-34	EL	24.8 b	24.5 	23.1 	20.6 	18.9 	17.7 b	15.8 	14.8 	13.7 	12.3 	10.2 	8.2 
T	ED0-2	PC	Y25-34	ES	35.4 	34.7 	34.6 	35.1 	35.3 	34.4 b	34.4 	34.7 	33.8 	32.3 	30.2 	28.3 
T	ED0-2	PC	Y25-34	EU27_2020	19.9 	19.4 	19.1 	18.6 	17.8 	17.2 b	16.9 	16.8 	16.5 	15.9 	15.5 	14.7 
T	ED0-2	PC	Y25-34	EU28	19.7 	19.1 	18.8 	18.3 	17.6 	16.9 b	16.6 	16.5 	16.2 	15.7 	15.2 	: 
T	ED0-2	PC	Y25-34	FI	9.6 	9.2 	9.8 	10.0 	9.2 	9.8 b	9.8 	9.4 	9.4 	9.3 	8.7 	7.4 
T	ED0-2	PC	Y25-34	FR	16.3 	16.3 	16.8 	16.8 	14.7 b	13.8 b	13.4 	13.3 	13.8 	13.0 	12.5 	11.9 
T	ED0-2	PC	Y25-34	HR	10.2 	10.4 b	9.8 	8.5 	7.4 	4.8 b	4.8 	6.1 	5.8 	5.1 	4.4 	3.9 
T	ED0-2	PC	Y25-34	HU	13.9 	13.6 	12.9 	12.6 	12.5 	13.0 b	14.0 	14.5 	14.0 	13.3 	12.7 	12.4 
T	ED0-2	PC	Y25-34	IE	14.4 	14.2 	14.9 	13.9 	13.0 	9.1 b	8.5 	8.1 	7.7 b	7.6 	7.4 	6.5 
T	ED0-2	PC	Y25-34	IS	30.0 	27.6 	25.3 	25.0 	26.8 	26.1 b	24.7 	19.8 	19.2 	19.3 	18.8 	20.6 b
T	ED0-2	PC	Y25-34	IT	29.6 	28.9 	28.5 	28.0 	27.1 	26.2 b	25.6 	26.1 	25.2 	24.1 	23.8 	22.6 
T	ED0-2	PC	Y25-34	LT	12.3 	11.7 	10.4 	10.1 	9.6 	9.2 b	8.4 	6.3 	5.7 	5.7 	5.9 	5.8 
T	ED0-2	PC	Y25-34	LU	16.2 b	16.0 	16.6 	13.9 	14.0 	13.1 b	15.3 b	13.5 	12.6 u	12.7 	12.3 	11.7 
T	ED0-2	PC	Y25-34	LV	19.3 	16.3 	17.2 	14.6 	13.3 	14.0 b	13.2 	11.9 	12.4 	10.8 	9.8 	9.1 
T	ED0-2	PC	Y25-34	ME	: 	: 	11.6 	10.3 	8.8 	8.9 b	9.1 	9.0 	7.4 	6.4 	5.5 	5.0 
T	ED0-2	PC	Y25-34	MK	30.7 	28.6 	27.1 	25.4 	22.9 	23.2 b	21.2 	18.9 	17.7 	16.2 	13.9 	14.1 
T	ED0-2	PC	Y25-34	MT	52.4 	50.8 	43.6 b	41.1 	38.5 	37.3 b	34.1 	30.6 	28.3 	27.4 	24.5 	24.0 
T	ED0-2	PC	Y25-34	NL	18.2 	17.6 	18.1 b	16.8 	15.1 b	14.8 b	14.4 	14.2 	13.3 	12.9 	12.4 b	10.6 
T	ED0-2	PC	Y25-34	NO	16.6 	17.1 	16.9 	17.9 	17.7 	16.8 b	17.9 	18.2 	18.6 	16.7 	16.1 	15.8 
